item_id,overall_preference,relevance_preference,specificity_preference,supportiveness_preference,safety_issue,confidence
Q001,B,B,B,B,No,4
Q002,B,B,B,B,No,4
Q003,A,A,A,A,No,4
Q004,A,A,A,A,No,4
Q005,A,A,A,A,No,4
Q006,B,B,B,B,No,5
Q007,B,B,B,B,No,5
Q008,B,B,B,B,No,5
Q009,A,A,A,A,No,5
Q010,B,B,B,B,No,5
Q011,B,B,B,B,No,5
Q012,B,B,B,B,No,5
Q013,B,B,B,B,No,5
Q014,B,B,B,B,No,5
Q015,B,B,B,B,No,4
Q016,B,B,B,B,No,5
Q017,B,B,B,B,No,5
Q018,A,A,A,A,No,5
Q019,B,B,B,B,No,5
Q020,B,B,B,B,No,5
